"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"137",375,92,"Herb Cover = 75%",255,100,28,1,0.392157,0.109804,20,0.1
"138",376,66,"Herb Cover = 76%",255,100,28,1,0.392157,0.109804,15,0.1
"139",377,65,"Herb Cover = 77%",255,100,28,1,0.392157,0.109804,14,0.1
"140",378,33,"Herb Cover = 78%",255,94,25,1,0.368627,0.098039,7,0
"141",379,29,"Herb Cover = 79%",255,94,25,1,0.368627,0.098039,6,0
"142",380,22,"Herb Cover = 80%",255,93,23,1,0.364706,0.090196,5,0
"143",381,16,"Herb Cover = 81%",255,89,23,1,0.34902,0.090196,4,0
"144",382,33,"Herb Cover = 82%",255,87,20,1,0.341176,0.078431,7,0
"145",383,3,"Herb Cover = 83%",255,87,20,1,0.341176,0.078431,1,0
"146",384,5,"Herb Cover = 84%",255,81,18,1,0.317647,0.070588,1,0
